stateTime,Active Faults
"2020-10-14","19.76"
"2020-10-15","15.13"
"2020-10-16","14.19"
"2020-10-17","16.83"
"2020-10-18","13.44"
"2020-10-19","12.82"
"2020-10-20","12.77"
"2020-10-21","13.55"
"2020-10-22","17.52"
"2020-10-23","13.37"
"2020-10-24","11.83"
"2020-10-25","7.04"
"2020-10-26","4.64"
"2020-10-27","6.18"
"2020-10-28","5.38"
"2020-10-29","7.08"
"2020-10-30","7.78"
"2020-10-31","10.06"
"2020-11-01","6.27"
"2020-11-02","9.38"
"2020-11-03","8.58"
"2020-11-04","6.75"
"2020-11-05","7.64"
"2020-11-06","9.38"
"2020-11-07","15.47"
"2020-11-08","9.43"
"2020-11-09","8.80"
"2020-11-10","10.51"
"2020-11-11","8.46"
"2020-11-12","6.40"
"2020-11-13","14.03"
"2020-11-14","10.20"
"2020-11-15","8.03"
"2020-11-16","9.61"
"2020-11-17","9.87"
"2020-11-18","9.77"
"2020-11-19","7.65"
"2020-11-20","9.58"
"2020-11-21","9.57"
"2020-11-22","6.78"
"2020-11-23","7.73"
"2020-11-24","12.59"
"2020-11-25","11.35"
"2020-11-26","10.67"
"2020-11-27","13.14"
"2020-11-28","5.87"
"2020-11-29","8.38"
"2020-11-30","9.90"
"2020-12-01","10.70"
"2020-12-02","8.81"
"2020-12-03","5.78"
"2020-12-04","10.18"
"2020-12-05","9.79"
"2020-12-06","6.72"
"2020-12-07","7.08"
"2020-12-08","8.44"
"2020-12-09","7.43"
"2020-12-10","7.75"
"2020-12-11","13.34"
"2020-12-12","6.05"
"2020-12-13","4.92"
"2020-12-14","9.67"
"2020-12-15","4.19"
"2020-12-16","7.99"
"2020-12-17","8.27"
"2020-12-18","242.24"
"2020-12-19","68.41"
"2020-12-20","7.10"
"2020-12-21","4.08"
"2020-12-22","3.25"
"2020-12-23","9.61"
"2020-12-24","10.25"
"2020-12-25","3.19"
"2020-12-26","4.58"
"2020-12-27","6.84"
"2020-12-28","7.76"
"2020-12-29","8.82"
"2020-12-30","4.91"
"2020-12-31","4.91"
"2021-01-01","3.33"
"2021-01-02","3.23"
"2021-01-03","6.33"
"2021-01-04","4.00"
"2021-01-05","5.98"
"2021-01-06","4.18"
"2021-01-07","3.26"
"2021-01-08","3.08"
"2021-01-09","4.55"
"2021-01-10","4.47"
"2021-01-11","4.41"
"2021-01-12","6.01"
"2021-01-13","6.72"
