stateTime,32 GiB,64 GiB
"2020-10-14","10.52","0.00"
"2020-10-15","5.60","0.00"
"2020-10-16","5.27","0.00"
"2020-10-17","5.51","0.00"
"2020-10-18","5.14","0.00"
"2020-10-19","5.93","0.00"
"2020-10-20","6.91","0.00"
"2020-10-21","6.72","0.00"
"2020-10-22","7.28","0.00"
"2020-10-23","8.18","0.00"
"2020-10-24","9.98","0.00"
"2020-10-25","11.47","0.00"
"2020-10-26","11.83","0.00"
"2020-10-27","12.45","0.00"
"2020-10-28","13.26","0.00"
"2020-10-29","13.34","0.00"
"2020-10-30","13.50","0.00"
"2020-10-31","13.88","0.00"
"2020-11-01","13.58","0.00"
"2020-11-02","12.82","0.00"
"2020-11-03","14.22","0.00"
"2020-11-04","15.08","0.00"
"2020-11-05","14.27","0.00"
"2020-11-06","15.75","0.00"
"2020-11-07","15.21","0.00"
"2020-11-08","15.45","0.00"
"2020-11-09","17.29","0.00"
"2020-11-10","15.84","0.00"
"2020-11-11","16.71","0.00"
"2020-11-12","16.65","0.00"
"2020-11-13","16.61","0.00"
"2020-11-14","15.72","0.00"
"2020-11-15","16.37","0.00"
"2020-11-16","15.85","0.00"
"2020-11-17","16.71","0.00"
"2020-11-18","16.30","0.00"
"2020-11-19","16.17","0.00"
"2020-11-20","16.75","0.00"
"2020-11-21","16.30","0.00"
"2020-11-22","15.97","0.00"
"2020-11-23","11.02","0.00"
"2020-11-24","10.89","0.00"
"2020-11-25","17.07","0.00"
"2020-11-26","17.34","0.00"
"2020-11-27","15.83","0.00"
"2020-11-28","17.30","0.00"
"2020-11-29","16.26","0.00"
"2020-11-30","17.01","0.00"
"2020-12-01","17.12","0.00"
"2020-12-02","16.17","0.00"
"2020-12-03","18.57","0.00"
"2020-12-04","16.81","0.00"
"2020-12-05","16.36","0.00"
"2020-12-06","17.09","0.00"
"2020-12-07","16.83","0.00"
"2020-12-08","17.19","0.00"
"2020-12-09","17.68","0.00"
"2020-12-10","17.09","0.00"
"2020-12-11","17.11","0.00"
"2020-12-12","17.03","0.00"
"2020-12-13","16.88","0.00"
"2020-12-14","16.80","0.00"
"2020-12-15","16.90","0.00"
"2020-12-16","16.73","0.00"
"2020-12-17","16.50","0.04"
"2020-12-18","12.60","0.08"
"2020-12-19","14.34","0.13"
"2020-12-20","16.64","0.11"
"2020-12-21","15.94","0.06"
"2020-12-22","16.23","0.00"
"2020-12-23","16.57","0.00"
"2020-12-24","16.66","0.03"
"2020-12-25","17.05","0.02"
"2020-12-26","17.13","0.02"
"2020-12-27","16.64","0.02"
"2020-12-28","17.10","0.02"
"2020-12-29","16.92","0.02"
"2020-12-30","16.69","0.02"
"2020-12-31","17.22","0.02"
"2021-01-01","18.01","0.02"
"2021-01-02","16.90","0.02"
"2021-01-03","17.23","0.02"
"2021-01-04","17.17","0.02"
"2021-01-05","16.98","0.02"
"2021-01-06","16.65","0.02"
"2021-01-07","16.83","0.02"
"2021-01-08","17.66","0.04"
"2021-01-09","17.43","0.15"
"2021-01-10","17.53","0.21"
"2021-01-11","17.14","0.33"
"2021-01-12","15.85","1.21"
"2021-01-13","16.50","1.79"
"2021-01-14","16.59","1.59"
"2021-01-15","16.81","2.01"
"2021-01-16","15.81","2.29"
"2021-01-17","16.19","2.61"
"2021-01-18","15.16","3.35"
"2021-01-19","15.08","3.61"
"2021-01-20","14.54","4.21"
"2021-01-21","15.03","4.72"
"2021-01-22","14.24","6.46"
"2021-01-23","14.34","6.44"
"2021-01-24","14.26","6.73"
"2021-01-25","13.85","7.26"
"2021-01-26","14.01","7.78"
"2021-01-27","13.43","8.34"
"2021-01-28","12.88","8.52"
"2021-01-29","13.46","8.61"
"2021-01-30","12.67","9.47"
"2021-01-31","12.41","9.74"
"2021-02-01","12.38","9.55"
"2021-02-02","12.40","10.03"
"2021-02-03","11.84","10.17"
"2021-02-04","12.05","10.08"
"2021-02-05","11.91","10.76"
"2021-02-06","11.62","11.25"
"2021-02-07","11.89","11.18"
"2021-02-08","11.76","11.40"
"2021-02-09","11.08","12.03"
"2021-02-10","11.09","11.61"
"2021-02-11","11.20","11.73"
"2021-02-12","11.68","11.11"
"2021-02-13","11.52","11.23"
"2021-02-14","11.57","11.96"
"2021-02-15","11.24","11.82"
"2021-02-16","11.48","11.49"
"2021-02-17","10.67","12.59"
"2021-02-18","9.83","13.13"
"2021-02-19","10.48","13.45"
"2021-02-20","9.62","14.43"
"2021-02-21","9.92","14.53"
"2021-02-22","9.81","14.21"
"2021-02-23","8.93","15.54"
