stateTime,32 GiB,64 GiB
"2025-02-26","3.23","0.25"
"2025-02-27","3.39","0.28"
"2025-02-28","3.04","0.23"
"2025-03-01","2.43","0.29"
"2025-03-02","2.42","0.29"
"2025-03-03","3.29","0.28"
"2025-03-04","3.69","0.26"
"2025-03-05","2.87","0.24"
"2025-03-06","2.43","0.27"
"2025-03-07","3.12","0.28"
"2025-03-08","2.94","0.28"
"2025-03-09","2.91","0.20"
"2025-03-10","3.46","0.15"
"2025-03-11","2.97","0.16"
"2025-03-12","3.23","0.15"
"2025-03-13","3.04","0.16"
"2025-03-14","2.87","0.16"
"2025-03-15","3.01","0.16"
"2025-03-16","3.35","0.15"
"2025-03-17","2.67","0.08"
"2025-03-18","3.05","0.08"
"2025-03-19","2.71","0.10"
"2025-03-20","2.70","0.26"
"2025-03-21","2.74","0.30"
"2025-03-22","2.92","0.23"
"2025-03-23","3.45","0.33"
"2025-03-24","3.35","0.27"
"2025-03-25","2.93","0.19"
"2025-03-26","3.20","0.32"
"2025-03-27","2.88","0.29"
"2025-03-28","3.31","0.26"
"2025-03-29","2.76","0.23"
"2025-03-30","2.69","0.21"
"2025-03-31","2.90","0.35"
"2025-04-01","2.97","0.46"
"2025-04-02","3.43","0.25"
"2025-04-03","2.71","0.18"
"2025-04-04","2.90","0.27"
"2025-04-05","3.11","0.19"
"2025-04-06","3.09","0.15"
"2025-04-07","3.60","0.10"
"2025-04-08","3.17","0.31"
"2025-04-09","3.13","0.40"
"2025-04-10","3.35","0.48"
"2025-04-11","3.14","0.42"
"2025-04-12","3.59","0.30"
"2025-04-13","3.15","0.33"
"2025-04-14","2.85","0.38"
"2025-04-15","2.86","0.46"
"2025-04-16","3.07","0.43"
"2025-04-17","2.77","0.47"
"2025-04-18","2.87","0.42"
"2025-04-19","3.74","0.32"
"2025-04-20","3.73","0.30"
"2025-04-21","3.45","0.32"
"2025-04-22","2.92","0.40"
"2025-04-23","3.18","0.40"
"2025-04-24","3.40","0.50"
"2025-04-25","3.96","0.50"
"2025-04-26","3.25","0.47"
"2025-04-27","0.68","0.12"
"2025-04-28","3.25","0.50"
"2025-04-29","3.20","0.49"
"2025-04-30","3.71","0.48"
"2025-05-01","4.00","0.37"
"2025-05-02","3.46","0.42"
"2025-05-03","4.33","0.49"
"2025-05-04","4.24","0.52"
"2025-05-05","3.93","0.53"
"2025-05-06","4.54","0.51"
"2025-05-07","4.39","0.49"
"2025-05-08","4.87","0.46"
"2025-05-09","4.29","0.30"
"2025-05-10","3.88","0.36"
"2025-05-11","3.90","0.31"
"2025-05-12","3.85","0.37"
"2025-05-13","3.48","0.39"
"2025-05-14","3.35","0.42"
"2025-05-15","3.25","0.33"
"2025-05-16","3.39","0.41"
"2025-05-17","3.26","0.44"
"2025-05-18","3.31","0.44"
"2025-05-19","3.13","0.45"
"2025-05-20","3.20","0.45"
"2025-05-21","3.27","0.44"
"2025-05-22","3.71","0.41"
"2025-05-23","3.43","0.46"
"2025-05-24","2.98","0.44"
"2025-05-25","2.99","0.45"
