stateTime,Block Rewards per WinCount
"2020-10-13","0.00"
"2020-10-14","10.87"
"2020-10-15","10.94"
"2020-10-16","10.98"
"2020-10-17","10.99"
"2020-10-18","11.04"
"2020-10-19","11.08"
"2020-10-20","11.12"
"2020-10-21","11.14"
"2020-10-22","11.16"
"2020-10-23","11.23"
"2020-10-24","11.30"
"2020-10-25","11.35"
"2020-10-26","11.43"
"2020-10-27","11.49"
"2020-10-28","11.58"
"2020-10-29","11.65"
"2020-10-30","11.72"
"2020-10-31","11.78"
"2020-11-01","11.90"
"2020-11-02","11.96"
"2020-11-03","12.04"
"2020-11-04","12.13"
"2020-11-05","12.22"
"2020-11-06","12.31"
"2020-11-07","12.36"
"2020-11-08","12.49"
"2020-11-09","12.59"
"2020-11-10","12.66"
"2020-11-11","12.78"
"2020-11-12","12.89"
"2020-11-13","12.93"
"2020-11-14","13.06"
"2020-11-15","13.17"
"2020-11-16","13.25"
"2020-11-17","13.35"
"2020-11-18","13.45"
"2020-11-19","13.55"
"2020-11-20","13.64"
"2020-11-21","13.74"
"2020-11-22","13.84"
"2020-11-23","13.92"
"2020-11-24","13.99"
"2020-11-25","14.07"
"2020-11-26","14.18"
"2020-11-27","14.23"
"2020-11-28","14.39"
"2020-11-29","14.47"
"2020-11-30","14.56"
"2020-12-01","14.65"
"2020-12-02","14.75"
"2020-12-03","14.87"
"2020-12-04","14.94"
"2020-12-05","15.04"
"2020-12-06","15.15"
"2020-12-07","15.24"
"2020-12-08","15.32"
"2020-12-09","15.43"
"2020-12-10","15.52"
"2020-12-11","15.56"
"2020-12-12","15.71"
"2020-12-13","15.81"
"2020-12-14","15.86"
"2020-12-15","15.97"
"2020-12-16","16.05"
"2020-12-17","16.14"
"2020-12-18","16.25"
"2020-12-19","16.25"
"2020-12-20","16.39"
"2020-12-21","16.49"
"2020-12-22","16.58"
"2020-12-23","16.64"
"2020-12-24","16.70"
"2020-12-25","16.84"
"2020-12-26","16.93"
"2020-12-27","17.00"
"2020-12-28","17.09"
"2020-12-29","17.16"
"2020-12-30","17.27"
"2020-12-31","17.35"
"2021-01-01","17.45"
"2021-01-02","17.54"
"2021-01-03","17.61"
"2021-01-04","17.70"
"2021-01-05","17.77"
"2021-01-06","17.87"
"2021-01-07","17.97"
"2021-01-08","18.04"
"2021-01-09","18.12"
"2021-01-10","18.21"
"2021-01-11","18.30"
"2021-01-12","18.37"
"2021-01-13","18.46"
"2021-01-14","18.55"
"2021-01-15","18.61"
"2021-01-16","18.67"
"2021-01-17","18.82"
"2021-01-18","18.90"
"2021-01-19","18.99"
"2021-01-20","19.00"
"2021-01-21","19.10"
"2021-01-22","19.25"
"2021-01-23","19.35"
"2021-01-24","19.43"
"2021-01-25","19.52"
"2021-01-26","19.65"
"2021-01-27","19.78"
"2021-01-28","19.88"
"2021-01-29","19.96"
"2021-01-30","20.08"
"2021-01-31","20.17"
"2021-02-01","20.28"
"2021-02-02","20.38"
"2021-02-03","20.46"
"2021-02-04","20.55"
"2021-02-05","20.68"
"2021-02-06","20.77"
"2021-02-07","20.87"
"2021-02-08","20.99"
"2021-02-09","21.08"
"2021-02-10","21.14"
"2021-02-11","21.26"
"2021-02-12","21.39"
"2021-02-13","21.50"
"2021-02-14","21.59"
"2021-02-15","21.66"
"2021-02-16","21.79"
"2021-02-17","21.89"
"2021-02-18","21.94"
"2021-02-19","22.03"
"2021-02-20","22.15"
"2021-02-21","22.25"
"2021-02-22","22.31"
"2021-02-23","22.44"
"2021-02-24","22.55"
"2021-02-25","22.66"
"2021-02-26","22.72"
"2021-02-27","22.87"
"2021-02-28","22.96"
"2021-03-01","23.01"
"2021-03-02","23.12"
"2021-03-03","23.19"
"2021-03-04","23.35"
"2021-03-05","23.46"
"2021-03-06","23.59"
"2021-03-07","23.71"
"2021-03-08","23.82"
"2021-03-09","23.96"
"2021-03-10","24.07"
"2021-03-11","24.22"
"2021-03-12","24.33"
"2021-03-13","24.44"
"2021-03-14","24.59"
"2021-03-15","24.70"
"2021-03-16","24.82"
"2021-03-17","24.93"
"2021-03-18","25.03"
"2021-03-19","25.16"
"2021-03-20","25.30"
"2021-03-21","25.42"
"2021-03-22","25.49"
"2021-03-23","25.61"
"2021-03-24","25.73"
"2021-03-25","25.78"
"2021-03-26","25.94"
"2021-03-27","26.08"
"2021-03-28","26.18"
"2021-03-29","26.31"
