,stateTime,Network QA Power,Network RB Power,Baseline Power,Commit Pledge per 32GiB QAP,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked,locked_ratio,locked_ratio_32
0,2020-10-14,0.56,0.56,2.77,0.1702,8.52,6.76,0.3,17.07,-3.54,-12.08,1.4178403755868545,0.3753685472751174
1,2020-10-15,0.57,0.57,2.77,0.1662,9.29,6.91,1.09,17.07,-3.55,-12.23,1.3164693218514534,0.3421685211074273
2,2020-10-16,0.58,0.58,2.78,0.1761,10.07,7.07,1.88,17.07,-3.55,-12.39,1.2303872889771599,0.34033590621807347
3,2020-10-17,0.58,0.58,2.78,0.1837,10.85,7.22,2.66,17.07,-3.56,-12.54,1.1557603686635944,0.32950142966562207
4,2020-10-18,0.59,0.59,2.79,0.1893,11.62,7.37,3.45,17.07,-3.56,-12.7,1.0929432013769362,0.3225123792413081
5,2020-10-19,0.6,0.6,2.79,0.1888,12.4,7.53,4.23,17.07,-3.57,-12.86,1.0370967741935484,0.30653597233548385
6,2020-10-20,0.6,0.6,2.8,0.19,13.17,7.68,5.02,17.07,-3.57,-13.03,0.9893697798025816,0.290448386332574
7,2020-10-21,0.61,0.61,2.8,0.192,13.94,7.83,5.81,17.07,-3.58,-13.18,0.945480631276901,0.28191499826685795
8,2020-10-22,0.61,0.61,2.81,0.1962,14.74,7.95,6.59,17.07,-3.59,-13.28,0.9009497964721844,0.2724465081834464
9,2020-10-23,0.62,0.62,2.81,0.1954,15.53,8.07,7.38,17.07,-3.59,-13.39,0.862202189311011,0.261754818283065
10,2020-10-24,0.63,0.63,2.82,0.1925,16.32,8.22,8.16,17.07,-3.6,-13.53,0.8290441176470588,0.24934520470588237
11,2020-10-25,0.64,0.64,2.82,0.1928,17.1,8.37,8.95,17.07,-3.71,-13.57,0.7935672514619883,0.24212564171602338
12,2020-10-26,0.65,0.65,2.83,0.194,17.88,8.52,9.74,17.07,-3.73,-13.71,0.766778523489933,0.23664507131991055
13,2020-10-27,0.66,0.66,2.84,0.1933,18.66,8.67,10.52,17.07,-3.73,-13.87,0.7433011789924973,0.22941089633954984
14,2020-10-28,0.68,0.68,2.84,0.1946,19.43,8.82,11.31,17.07,-3.74,-14.02,0.7215645908389089,0.22852243323190943
15,2020-10-29,0.69,0.69,2.85,0.195,20.2,8.98,12.09,17.07,-3.75,-14.18,0.7019801980198019,0.2235024171089109
16,2020-10-30,0.7,0.7,2.85,0.1955,20.98,9.13,12.88,17.07,-3.76,-14.34,0.6835081029551954,0.21887149757864632
17,2020-10-31,0.71,0.71,2.86,0.1982,21.75,9.29,13.67,17.07,-3.76,-14.51,0.6671264367816092,0.2170964036737471
18,2020-11-01,0.73,0.73,2.86,0.1981,22.52,9.45,14.45,17.07,-3.76,-14.68,0.6518650088809946,0.21547100687460033
19,2020-11-02,0.74,0.74,2.87,0.1977,23.3,9.61,15.24,17.07,-3.77,-14.84,0.6369098712446352,0.21068439024618024
20,2020-11-03,0.75,0.75,2.87,0.2006,24.07,9.77,16.02,17.07,-3.77,-15.02,0.6240132945575405,0.2097326254424595
21,2020-11-04,0.77,0.77,2.88,0.2008,24.84,9.94,16.81,17.07,-3.78,-15.19,0.6115136876006441,0.20885877850692433
22,2020-11-05,0.78,0.78,2.88,0.2014,25.61,10.1,17.6,17.07,-3.79,-15.36,0.5997657165169855,0.205823226542132
23,2020-11-06,0.79,0.79,2.89,0.2025,26.37,10.27,18.38,17.07,-3.79,-15.55,0.58968524838832,0.2035597367918089
24,2020-11-07,0.8,0.8,2.9,0.205,27.14,10.43,19.17,17.07,-3.8,-15.73,0.5795873249815771,0.2027607534266765
25,2020-11-08,0.82,0.82,2.9,0.2058,27.9,10.6,19.95,17.07,-3.8,-15.91,0.5702508960573477,0.2029574095552688
26,2020-11-09,0.84,0.84,2.91,0.204,28.65,10.77,20.74,17.07,-3.81,-16.11,0.562303664921466,0.20069415244397903
27,2020-11-10,0.85,0.85,2.91,0.2063,29.4,10.93,21.53,17.07,-3.83,-16.29,0.5540816326530612,0.20013392596462587
28,2020-11-11,0.87,0.87,2.92,0.2074,30.14,11.1,22.31,17.07,-3.87,-16.47,0.5464499004644989,0.20087905113523555
29,2020-11-12,0.89,0.89,2.92,0.2071,30.87,11.28,23.1,17.07,-3.91,-16.66,0.5396825396825397,0.2003472417171364
30,2020-11-13,0.9,0.9,2.93,0.2088,31.59,11.45,23.88,17.07,-3.96,-16.84,0.5330800886356442,0.1996058518974359
31,2020-11-14,0.92,0.92,2.93,0.2127,32.32,11.62,24.67,17.07,-4.0,-17.03,0.5269183168316832,0.20315796632079208
32,2020-11-15,0.93,0.93,2.94,0.2109,33.06,11.79,25.46,17.07,-4.03,-17.22,0.5208711433756805,0.19907034571034482
33,2020-11-16,0.95,0.95,2.95,0.2118,33.78,11.97,26.24,17.07,-4.1,-17.4,0.5150976909413854,0.19986640801420957
34,2020-11-17,0.97,0.97,2.95,0.2138,34.47,12.15,27.03,17.07,-4.17,-17.6,0.5105889178996229,0.20187755830438062
35,2020-11-18,0.98,0.98,2.96,0.2148,35.16,12.33,27.81,17.07,-4.25,-17.8,0.5062571103526735,0.2008914150662116
36,2020-11-19,1.0,1.0,2.96,0.2154,35.85,12.51,28.6,17.07,-4.33,-18.0,0.502092050209205,0.20160738222594143
37,2020-11-20,1.01,1.01,2.97,0.2163,36.59,12.7,29.39,17.07,-4.35,-18.21,0.4976769609182837,0.20033894173315112
38,2020-11-21,1.03,1.03,2.97,0.2182,37.29,12.88,30.17,17.07,-4.44,-18.39,0.4931617055510861,0.2022318148101904
