,Commit Pledge per 32GiB QAP,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked,Network QA Power,Network RB Power,Baseline Power,Active Faults,Block Rewards per WinCount,stateTime,FIL-USD,BTC-USD,ETH-USD,onboard_32G,onboard_64G,daily_onboard_QAP,dlog_FILUSD,dlog_QAP,est_20-day_reward,consensus_term,Pledge_theory,gap
2,0.1662,9.29,6.91,1.09,17.07,-3.55,-12.23,0.57,0.57,2.77,15.13,10.94,2020-10-15,59.25922775268555,11495.349609375,377.44183349609375,5.6,0.0,0.175,0.6735193868183935,0.017699577099400732,5.263157894736855,1.0061371841155233,6.2692950788523785,-6.103095078852379
3,0.1761,10.07,7.07,1.88,17.07,-3.55,-12.39,0.58,0.58,2.78,14.19,10.98,2020-10-16,44.04054641723633,11322.123046875,366.22900390625,5.27,0.0,0.1646875,-0.2968107914782667,0.017391742711869163,5.5172413793103505,1.0866906474820144,6.603932026792365,-6.427832026792365
4,0.1837,10.85,7.22,2.66,17.07,-3.56,-12.54,0.58,0.58,2.78,16.83,10.99,2020-10-17,41.978328704833984,11358.1015625,368.8559265136719,5.51,0.0,0.1721875,-0.047957217171723965,0.0,5.172413793103431,1.170863309352518,6.343277102455948,-6.159577102455948
5,0.1893,11.62,7.37,3.45,17.07,-3.56,-12.7,0.59,0.59,2.79,13.44,11.04,2020-10-18,32.4410285949707,11483.359375,378.21368408203125,5.14,0.0,0.160625,-0.25772956554228976,0.017094433359300165,5.084745762711877,1.2494623655913977,6.334208128303274,-6.144908128303274
6,0.1888,12.4,7.53,4.23,17.07,-3.57,-12.86,0.6,0.6,2.79,12.82,11.08,2020-10-19,33.882938385009766,11742.037109375,379.93560791015625,5.93,0.0,0.1853125,0.043487658856955935,0.016807118316381264,5.333333333333338,1.3333333333333333,6.666666666666671,-6.477866666666672
7,0.19,13.17,7.68,5.02,17.07,-3.57,-13.03,0.6,0.6,2.8,12.77,11.12,2020-10-20,31.051366806030273,11916.3349609375,369.13690185546875,6.91,0.0,0.2159375,-0.08726876828610575,0.0,4.999999999999982,1.4110714285714285,6.411071428571411,-6.221071428571411
8,0.192,13.94,7.83,5.81,17.07,-3.58,-13.18,0.61,0.61,2.8,13.55,11.14,2020-10-21,26.82373046875,12823.689453125,392.1899719238281,6.72,0.0,0.21,-0.14635586595295758,0.016529301951210607,4.918032786885258,1.4935714285714285,6.411604215456686,-6.219604215456686
9,0.1962,14.74,7.95,6.59,17.07,-3.59,-13.28,0.61,0.61,2.81,17.52,11.16,2020-10-22,23.770475387573242,12965.8916015625,413.7729797363281,7.28,0.0,0.2275,-0.120842680326259,0.0,3.9344262295082,1.5736654804270462,5.508091709935247,-5.311891709935247
10,0.1954,15.53,8.07,7.38,17.07,-3.59,-13.39,0.62,0.62,2.81,13.37,11.23,2020-10-23,24.497432708740234,12931.5390625,409.7666931152344,8.18,0.0,0.255625,0.03012404401241664,0.016260520871780315,3.8709677419354875,1.6580071174377222,5.52897485937321,-5.3335748593732095
11,0.1925,16.32,8.22,8.16,17.07,-3.6,-13.53,0.63,0.63,2.82,11.83,11.3,2020-10-24,25.73779296875,13108.0625,412.4576110839844,9.98,0.0,0.311875,0.04939213058027203,0.016000341346441127,4.761904761904773,1.7361702127659575,6.498074974670731,-6.305574974670731
12,0.1928,17.1,8.37,8.95,17.07,-3.71,-13.57,0.64,0.64,2.82,7.04,11.35,2020-10-25,38.49485778808594,13031.173828125,406.2177734375,11.47,0.0,0.3584375,0.4025642131854483,0.0157483569681392,4.687499999999956,1.819148936170213,6.506648936170168,-6.313848936170168
13,0.194,17.88,8.52,9.74,17.07,-3.73,-13.71,0.65,0.65,2.83,4.64,11.43,2020-10-26,33.72261047363281,13075.248046875,393.8883056640625,11.83,0.0,0.3696875,-0.1323561221090026,0.015504186535965248,4.6153846153846265,1.895406360424028,6.510790975808654,-6.3167909758086545
14,0.1933,18.66,8.67,10.52,17.07,-3.73,-13.87,0.66,0.66,2.84,6.18,11.49,2020-10-27,35.245758056640625,13654.21875,403.9970397949219,12.45,0.0,0.3890625,0.0441766368798171,0.01526747213078844,4.545454545454556,1.9711267605633804,6.516581306017936,-6.323281306017936
15,0.1946,19.43,8.82,11.31,17.07,-3.74,-14.02,0.68,0.68,2.84,5.38,11.58,2020-10-28,33.615264892578125,13271.28515625,388.6507568359375,13.26,0.0,0.414375,-0.04736490711858332,0.029852963149681166,4.411764705882363,2.0524647887323946,6.464229494614758,-6.269629494614757
16,0.195,20.2,8.98,12.09,17.07,-3.75,-14.18,0.69,0.69,2.85,7.08,11.65,2020-10-29,32.643192291259766,13437.8828125,386.7301025390625,13.34,0.0,0.416875,-0.02934394772514448,0.014598799421152553,4.6376811594202945,2.126315789473684,6.763996948893979,-6.568996948893979
17,0.1955,20.98,9.13,12.88,17.07,-3.76,-14.34,0.7,0.7,2.85,7.78,11.72,2020-10-30,29.268766403198242,13546.5224609375,382.8199768066406,13.5,0.0,0.421875,-0.1091153739711399,0.01438873745209962,4.285714285714296,2.2084210526315786,6.494135338345875,-6.298635338345875
18,0.1982,21.75,9.29,13.67,17.07,-3.76,-14.51,0.71,0.71,2.86,10.06,11.78,2020-10-31,31.146846771240234,13780.9951171875,386.59033203125,13.88,0.0,0.43375,0.06219205847872633,0.014184634991956435,4.507042253521081,2.2814685314685312,6.788510784989612,-6.590310784989612
19,0.1981,22.52,9.45,14.45,17.07,-3.76,-14.68,0.73,0.73,2.86,6.27,11.9,2020-11-01,31.591875076293945,13737.109375,396.3581848144531,13.58,0.0,0.424375,0.014186956831474529,0.02777956410707577,4.383561643835621,2.362237762237762,6.745799406073383,-6.547699406073383
20,0.1977,23.3,9.61,15.24,17.07,-3.77,-14.84,0.74,0.74,2.87,9.38,11.96,2020-11-02,29.7430477142334,13550.4892578125,383.15673828125,12.82,0.0,0.400625,-0.060304555289666606,0.013605652055778628,4.324324324324328,2.4355400696864113,6.759864394010739,-6.562164394010739
21,0.2006,24.07,9.77,16.02,17.07,-3.77,-15.02,0.75,0.75,2.87,8.58,12.04,2020-11-03,28.788293838500977,13950.30078125,387.6021728515625,14.22,0.0,0.444375,-0.03262657383183898,0.013423020332140712,4.26666666666667,2.5160278745644598,6.78269454123113,-6.582094541231131
22,0.2008,24.84,9.94,16.81,17.07,-3.78,-15.19,0.77,0.77,2.88,6.75,12.13,2020-11-04,28.857746124267578,14133.70703125,402.1419982910156,15.08,0.0,0.47125,0.0024096128516770676,0.02631730831737339,4.415584415584414,2.5875,7.003084415584414,-6.802284415584414
23,0.2014,25.61,10.1,17.6,17.07,-3.79,-15.36,0.78,0.78,2.88,7.64,12.22,2020-11-05,29.346532821655273,15579.8486328125,414.0673522949219,14.27,0.0,0.4459375,0.016795953730957436,0.012903404835907906,4.102564102564106,2.6677083333333336,6.770272435897439,-6.56887243589744
24,0.2025,26.37,10.27,18.38,17.07,-3.79,-15.55,0.79,0.79,2.89,9.38,12.31,2020-11-06,31.754432678222656,15565.880859375,454.71929931640625,15.75,0.0,0.4921875,0.07885792035165196,0.012739025777429774,4.3037974683544284,2.7373702422145327,7.041167710568962,-6.838667710568962
25,0.205,27.14,10.43,19.17,17.07,-3.8,-15.73,0.8,0.8,2.9,15.47,12.36,2020-11-07,29.940458297729492,14833.75390625,435.713134765625,15.21,0.0,0.4753125,-0.05882164142666735,0.012578782206860123,4.0000000000000036,2.8075862068965516,6.807586206896556,-6.6025862068965555
26,0.2058,27.9,10.6,19.95,17.07,-3.8,-15.91,0.82,0.82,2.9,9.43,12.49,2020-11-08,30.691877365112305,15479.5673828125,453.5547790527344,15.45,0.0,0.4828125,0.024787352564750176,0.024692612590371393,4.1463414634146325,2.886206896551724,7.0325483599663565,-6.8267483599663565
27,0.204,28.65,10.77,20.74,17.07,-3.81,-16.11,0.84,0.84,2.91,8.8,12.59,2020-11-09,31.199359893798828,15332.3154296875,444.1630554199219,17.29,0.0,0.5403125,0.016399539736107194,0.024097551579060517,4.047619047619046,2.9536082474226797,7.001227295041725,-6.797227295041726
28,0.2063,29.4,10.93,21.53,17.07,-3.83,-16.29,0.85,0.85,2.91,10.51,12.66,2020-11-10,30.37097930908203,15290.90234375,449.67962646484375,15.84,0.0,0.495,-0.02691005390662271,0.01183445764700286,3.7647058823529447,3.030927835051546,6.79563371740449,-6.58933371740449
29,0.2074,30.14,11.1,22.31,17.07,-3.87,-16.47,0.87,0.87,2.92,8.46,12.78,2020-11-11,30.09772491455078,15701.33984375,462.9605407714844,16.71,0.0,0.5221875,-0.009037939809952267,0.023256862164267283,3.9080459770114926,3.0965753424657536,7.004621319477247,-6.797221319477247
30,0.2071,30.87,11.28,23.1,17.07,-3.91,-16.66,0.89,0.89,2.92,6.4,12.89,2020-11-12,29.517568588256836,16276.34375,461.0052795410156,16.65,0.0,0.5203125,-0.019463953220355545,0.022728251077556147,4.044943820224713,3.1715753424657533,7.216519162690466,-7.009419162690467
31,0.2088,31.59,11.45,23.88,17.07,-3.96,-16.84,0.9,0.9,2.93,14.03,12.93,2020-11-13,29.223934173583984,16317.80859375,474.6264343261719,16.61,0.0,0.5190625,-0.0099975944311681,0.011173300598125227,3.777777777777776,3.234470989761092,7.012248767538868,-6.8034487675388675
32,0.2127,32.32,11.62,24.67,17.07,-4.0,-17.03,0.92,0.92,2.93,10.2,13.06,2020-11-14,29.35388946533203,16068.138671875,460.14984130859375,15.72,0.0,0.49125,0.004437020595137842,0.021978906718775268,3.6956521739130417,3.309215017064846,7.004867190977888,-6.792167190977888
