,date,onboarded_data_pibs,unique_data_onboarded_data_pibs,unique_data_onboarded_ratio,onboarded_data_pibs_with_payments,deal_storage_cost_fil,deals,verified_deals,regular_deals,unique_piece_cids,new_piece_cids,data_on_active_deals_pibs,data_on_active_deals_pibs_delta,unique_data_on_active_deals_pibs,active_deals,active_deals_delta,deal_ends,ended_data_pibs,deal_slashes,slashed_data_pibs,unique_deal_making_clients,unique_deal_making_providers,clients_with_active_deals,clients_with_active_deals_delta,providers_with_active_deals,providers_with_active_deals_delta,providers_with_power,mean_deal_duration_days,mean_verified_deal_duration_days,mean_regular_deal_duration_days,new_client_ids,new_provider_ids,new_providers_providing_capacity,active_address_count_daily,active_address_count_weekly,active_address_count_monthly,total_address_count,total_address_count_100,total_address_count_1000,total_address_count_10000,total_address_count_100000,total_address_count_1000000,clients_with_active_data_gt_1_tibs,raw_power_pibs,raw_power_pibs_delta,quality_adjusted_power_pibs,quality_adjusted_power_pibs_delta,verified_data_power_pibs,verified_data_power_pibs_delta,storage_providers_balance,storage_providers_initial_pledge,storage_providers_locked_funds,storage_providers_pre_commit_deposits,storage_providers_collateral,storage_providers_fee_debt,storage_providers_blocks_mined,storage_providers_win_count,storage_providers_rewards,network_utilization_ratio,sector_onboarding_count,ddo_sector_onboarding_count,sector_onboarding_raw_power_pibs,ddo_sector_onboarding_raw_power_tibs,sector_onboarding_quality_adjusted_power_pibs,sector_terminated_raw_power_pibs,sector_terminated_quality_adjusted_power_pibs,sector_extended_raw_power_pibs,sector_extended_quality_adjusted_power_pibs,sector_fault_raw_power_pibs,sector_fault_quality_adjusted_power_pibs,sector_recover_raw_power_pibs,sector_recover_quality_adjusted_power_pibs,sector_expire_raw_power_pibs,sector_expire_quality_adjusted_power_pibs,sector_snap_raw_power_pibs,sector_snap_quality_adjusted_power_pibs,active_sector_count,commit_capacity_added_events_count,precommit_added_events_count,sector_added_events_count,sector_extended_events_count,sector_faulted_events_count,sector_recovered_events_count,sector_recovering_events_count,sector_snapped_events_count,sector_terminated_events_count,mean_spark_retrieval_success_rate,providers_with_successful_retrieval,circulating_fil,yearly_circulating_fil_delta,yearly_inflation_rate,mined_fil,vested_fil,reserve_disbursed_fil,locked_fil,burnt_fil,reward_per_wincount,fil_plus_bytes_share,fil_plus_rewards_share,total_gas_used_millions,unit_base_fee,provecommit_sector_gas_used_millions,precommit_sector_gas_used_millions,provecommit_aggregate_gas_used_millions,precommit_sector_batch_gas_used_millions,publish_storage_deals_gas_used_millions,submit_windowed_post_gas_used_millions,github_repositories,github_contributors,github_comments,github_stars,github_forks,github_releases,github_commits,transactions,total_value_fil
0,2025-05-26,3.51651382446289,0.7058563232421875,0.200726161897003,<nil>,3.775238502080002e-07,111061,111061,0,87096,23577,1109.775982055813,0.1633138656616211,288.85053883399814,34540980.0,0.0,57508,1.8888845443725584,<nil>,<nil>,52,88,654,0,646,0,1551,513.566087046063,513.565654949061,516.1716570150659,1,1,2,2993,8733,35616,3602687.0,61201,15895,3961,1122,93,702,3713.673553466797,8.074249267578125,23081.284270841395,60.65201923053246,2151.956746374956,5.841974440329068,142788394.619,122656313.18,5807710.214,1016.916,891294.572,46613.14,14210,14258,82794.316,0.298835093089917,105525,3050,3.445281982421875,86.3359375,33.94411849975586,1.841949462890625,11.092901229858398,23.97198486328125,162.90853151006593,5.843292236328125,19.51652830477519,12.48065185546875,56.882299020505975,1.74591064453125,10.995489120483398,0.16827392578125,0.3081217384882606,104486111.0,<nil>,115994,105538,736644.0,176269.0,302600.0,334458.0,5514,58059.0,0.13933599944840727,208,728458589.762891,131840136.66566002,22.09789790799079,375158737.848713,505209192.238782,17066618.9617734,128458445.783546,40517513.502832,5.82737929975223,0.5794684738420414,0.9323383920597192,41362467.937727,1.0235904536497e-07,16706989.085,0.0,0.0,1919265.23445,15396858.191741,1429775.292582,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,131791,5849145.978909469
1,2025-05-25,3.4954528817906976,0.9784545907750726,0.2799221227876534,<nil>,5.887209972799999e-07,110253,110253,0,67740,25060,1109.6126681901517,0.149304867722094,288.92847786750644,34540980.0,0.0,122259,3.651722908020019,<nil>,<nil>,55,83,654,0,646,0,1557,512.979177482962,512.9786479563455,516.1716570150659,<nil>,1,<nil>,2652,8671,35525,3601932.0,61172,15899,3959,1123,93,702,3705.599304199219,-7.116302490234375,23020.632251610863,-23.79464823452872,2146.114771934627,-1.853149527144069,142742873.923,122572482.08,5811249.018,920.18,890797.632,46613.264,14114,14163,82643.454,0.2994421622793183,103764,1522,3.387481689453125,40.6484375,33.71839904785156,2.637664794921875,14.66659545898438,14.71649169921875,38.108555770257254,10.783935546875,50.05176487844218,2.89599609375,9.10026925132567,2.63763427734375,14.666564941406254,0.129791259765625,0.1814488628149346,104316866.0,<nil>,107132,103752,365910.0,307209.0,82131.0,90117.0,4250,78551.0,0.16003585925595587,217,728268129.595565,131911914.479684,22.11965116420419,375075699.028441,505022066.643804,17066618.9617734,128379417.778774,40516837.2596798,5.82945969695065,0.5791545700860399,0.932257093757472,37583962.63885,1.2048658422569525e-07,15935693.108667,0.0,0.0,1753398.706369,15706647.660475,1355246.42179,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,123898,1948330.732124075
2,2025-05-24,3.8224563598632817,1.0409164428710938,0.2723161090342244,<nil>,7.738050225119993e-07,120392,120392,0,82891,37606,1109.4633633224294,-0.0006142258644104,289.07819519750774,34540980.0,0.0,118504,3.8418145179748535,<nil>,<nil>,55,86,654,0,646,0,1557,512.5187061704848,512.5181002460107,516.1716570150659,1,1,<nil>,2908,8591,35769,3601528.0,61171,15901,3966,1122,93,702,3712.715606689453,2.28143310546875,23044.42689984539,40.828571274876595,2147.967921461771,4.283015352156326,142736395.412,122512815.726,5815247.489,983.758,890316.047,46613.123,14132,14199,82335.075,0.2988279956922726,119981,5919,3.892242431640625,176.75,37.56190490722656,1.7030029296875,13.83382374048233,18.72796630859375,119.70063018798832,6.0657958984375,19.033527307966295,5.498199462890625,27.871475191268697,1.604400634765625,13.73384815454483,0.11651611328125,0.1910176406831807,104515721.0,<nil>,121291,119981,610008.0,134060.0,176460.0,147907.0,3817,52974.0,0.1675116102866247,211,728056170.469888,132073261.79924393,22.16057874777599,374993195.237264,504834941.048827,17066618.9617734,128322489.409861,40516095.3681157,5.82993979377014,0.5785436184747441,0.9320986504881064,36545116.871156,2.0002941386e-06,17067539.954191,0.0,0.0,1746118.252677,12278225.906575,1399030.52492,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,126644,2693686.289675194
3,2025-05-23,4.033447265625,1.32208251953125,0.3277797954119,<nil>,7.970389906879976e-07,144666,144666,0,98180,40372,1109.4639775482938,1.2612287998199463,288.9600655268878,34540980.0,0.0,114849,3.8773308396339417,<nil>,<nil>,49,87,654,0,646,0,1565,512.0889998874337,512.0883198470086,516.1846835243526,1,3,4,3126,8495,35712,3601068.0,61177,15898,3965,1122,93,702,3710.434173583984,-0.297119140625,23003.598328570515,19.771286203700583,2143.6849061096145,2.229822816036176,142685005.676,122435710.192,5818985.819,1093.888,889785.956,46613.106,14173,14215,82809.719,0.2990119014769206,128604,7181,4.1297607421875,218.421875,39.59314727783203,1.540313720703125,11.449008301252842,28.72052001953125,239.74481201171872,6.703094482421875,31.53304392494236,3.9620361328125,25.437828212694267,1.53778076171875,11.439608887190342,0.1500244140625,0.271944712928863,104387312.0,<nil>,129765,128579,923821.0,183003.0,122286.0,150460.0,4916,47899.0,0.1547998913921212,221,727860330.45389,132382594.83340192,22.231325692716155,374910493.076227,504647815.45385,17066618.9617734,128249112.019281,40515485.0186793,5.83166760931976,0.5777450308568567,0.9318911222020224,49945550.659403,0.0091595187600105,18393628.128757,0.0,0.0,1936629.923833,17436159.510872,1346332.093884,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,138365,4639652.892015031
4,2025-05-22,3.5832595825195312,1.098224639892578,0.3064876028658725,<nil>,4.015626566080004e-07,112252,112252,0,87539,27517,1108.2027487484738,-0.8976613879203796,288.27751724235713,34540980.0,0.0,87727,2.831777334213257,<nil>,<nil>,57,84,654,0,646,0,1562,511.7478740486632,511.7471266672893,516.2306875961575,1,2,1,3285,8398,35727,3600548.0,61171,15902,3968,1125,93,701,3710.7312927246094,5.815673828125,22983.827042366815,51.010463297367096,2141.4550832935784,5.0216432743604855,142348675.519,122328768.297,5822199.67,1158.147,889206.223,46614.106,14266,14321,82774.972,0.2986480726646133,111272,7665,3.616485595703125,229.9140625,34.501800537109375,2.460052490234375,12.291204690933226,20.238861083984375,68.30773526040335,4.42474365234375,25.10265165278765,8.906036376953125,51.07858968169353,2.458953857421875,12.290106058120726,0.111297607421875,0.4655595039448101,104373102.0,<nil>,111101,111264,642147.0,142181.0,256938.0,216627.0,3647,79380.0,0.1602730751518463,219,727691344.664691,132597370.68963492,22.281753216878126,374827616.252744,504460689.858873,17066618.9617734,128149049.518395,40514530.8903036,5.83225211362437,0.5770978587137772,0.9317225888213336,43960906.622112,1.83321715629e-05,17765218.1631,0.0,0.0,1775775.89806,12504462.927657,1403749.599514,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,137734,11748977.544957375
5,2025-05-21,3.654083251953125,0.978515625,0.2677868996216708,<nil>,4.573544942560004e-07,136075,136075,0,96624,29608,1109.1004101363942,-0.5958433151245117,288.20431528799236,34540980.0,0.0,134820,4.612222850322723,<nil>,<nil>,51,78,654,0,646,0,1558,511.28714176293346,511.2863182852462,516.2306875961575,1,<nil>,1,3171,8513,35614,3599921.0,61200,15914,3968,1122,91,701,3704.915618896485,-2.440155029296875,22932.816579069447,-6.605157049169065,2136.433440019218,-0.4627780022083243,142233912.896,122251724.647,5825509.087,1221.654,888720.988,46614.106,14044,14086,82316.241,0.2993591553015562,112202,6261,3.65032958984375,194.34375,35.72333526611329,4.721282958984375,21.345552140640734,24.005096435546875,105.73689267741813,7.714752197265625,42.18604642814773,6.07073974609375,18.025465472880207,4.5509033203125,21.08453529493761,0.20062255859375,1.3763900518041003,104221602.0,<nil>,112377,112205,761918.0,220540.0,177886.0,225431.0,6575,149288.0,0.14594390071033456,220,727498613.992951,132938032.92215408,22.35903912141874,374744159.275606,504273564.263896,17066618.9617734,128071649.715514,40514078.7928096,5.83225211362437,0.5766483396066004,0.9316053406057064,44655507.098726,2.28959580878e-05,18162632.011889,0.0,0.0,1904582.674795,15556915.211147,1386203.186149,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,146087,13156217.352656567
6,2025-05-20,3.349273681640625,0.76910400390625,0.2296330718275337,<nil>,4.42157296960001e-07,132506,132506,0,102453,25095,1109.6962534515187,-1.2219038009643557,288.36785422079265,34540980.0,1386144.0,140443,4.342959403991699,<nil>,<nil>,49,79,654,0,646,0,1560,510.7033799965523,510.702427473574,516.2400195738018,3,<nil>,<nil>,2899,8530,35518,3599439.0,61226,15906,3965,1120,92,700,3707.355773925781,13.140625,22939.421736118617,84.54651218696381,2136.896218021426,7.933987465217797,142882484.846,122224078.256,5829698.313,1269.034,888206.542,46614.106,14201,14255,83097.791,0.2993228384651206,109871,13544,3.576416015625,417.296875,34.34980773925781,4.12872314453125,24.852765425315688,49.255584716796875,393.8095435788805,5.67767333984375,14.763515876922986,19.5640869140625,90.14200087090666,4.119720458984375,24.763562544456313,0.189300537109375,1.4120495518560112,104290531.0,<nil>,110445,109864,1531996.0,174321.0,476367.0,269797.0,6202,122654.0,0.16265500993932408,226,727253447.399256,133125104.792724,22.40679248000252,374662023.612888,504086438.668919,17066618.9617734,128048192.685721,40513441.1586034,5.83779069920705,0.576393620771559,0.9315388341532764,48175313.750287,0.0001969249251836,17189071.074812,0.0,0.0,2009073.091427,14138018.791552,1482623.260095,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,144957,5828916.892182411
7,2025-05-19,3.4650115966796875,0.9624519348144532,0.2777629765328095,<nil>,4.753961842240013e-07,84907,84907,0,87489,44604,1110.918157252483,-0.5477752685546875,289.0264388155192,33154836.0,351048.0,122052,4.6988019943237305,<nil>,<nil>,48,78,654,0,646,0,1561,510.069517259524,510.06840666775014,516.2073830267516,<nil>,<nil>,2,3018,9146,35716,3599037.0,61241,15911,3974,1123,92,701,3694.215148925781,-1.025054931640625,22854.875223931653,15.744392044027336,2128.9622305562084,1.86327188618543,142984964.303,122229765.37,5833182.7,1314.132,887726.565,46614.106,14079,14141,82757.688,0.3007183156550913,115547,15863,3.7445068359375,490.546875,36.03751373291016,1.90301513671875,15.06305694580078,6.662322998046875,51.00788006765106,22.444305419921875,89.50925056589278,19.310089111328125,82.18512401185203,1.90045166015625,15.06049346923828,0.209197998046875,1.6357263864524798,104005901.0,<nil>,114514,115545,199903.0,531133.0,511910.0,763180.0,6855,59552.0,0.13897358080935554,228,726974678.423329,133328737.562518,22.4593024874702,374578914.252256,503899313.073941,17066618.9617734,128057364.183033,40512803.681609,5.83785072253658,0.5762962211811827,0.9315133903364926,41351667.570169,1.1942871812043756e-07,18069905.593764,0.0,0.0,2105596.316027,12255754.656951,1545490.385577,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,157496,3394847.411913572
8,2025-05-18,3.455322265625,0.7493133544921875,0.2168577333427541,<nil>,8.338857915360014e-07,123450,123450,0,80816,25998,1111.4659325210378,-2.4812660217285156,289.2586051058024,32803788.0,172751.0,130306,4.0638580322265625,<nil>,<nil>,51,78,654,0,646,0,1564,509.4359390407986,509.4347053581583,516.2228346612948,<nil>,1,2,2537,10608,35685,3588336.0,61225,15924,3975,1120,93,702,3695.240203857422,-13.349090576171877,22839.130831887625,-58.542261521390174,2127.098958670023,-5.021463438357387,142933842.21,122162182.622,5837553.302,1402.139,887223.717,46616.106,13867,13925,82522.24,0.3007831348448716,113054,14769,3.670501708984375,456.8515625,35.08219909667969,3.40423583984375,31.370407223701477,7.29986572265625,59.131971359252944,18.406158447265625,87.24374827943015,4.26190185546875,19.232338355458047,3.37188720703125,31.333938717842106,0.20721435546875,1.5167119186721836,103962957.0,<nil>,113626,113047,231887.0,507103.0,138936.0,126957.0,6788,82159.0,0.1339476864828491,223,726767665.281763,133547249.28985392,22.512247672149467,374496547.061295,503712187.478964,17066618.9617734,127995570.270705,40512117.9495651,5.84044916370376,0.5756321216817155,0.9313397144256476,42645233.268065,1.2167116089521957e-07,18023151.182058,0.0,0.0,1974054.636822,12568510.798849,1366295.254827,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,161517,2442882.516470955
9,2025-05-17,3.478107452392578,0.7532844543457031,0.2165788333616666,<nil>,5.653142846239991e-07,125269,125269,0,75831,23034,1113.9471985427665,-1.0080761909484863,290.06886969320476,32631037.0,0.0,198448,5.937046051025391,<nil>,<nil>,55,72,654,0,646,17,1564,508.6500895583244,508.6487068795642,516.2589019190907,<nil>,3,<nil>,2823,13319,35988,3571068.0,61205,15902,3972,1119,93,704,3708.5892944335938,5.6513671875,22897.673093409016,55.73269460859592,2132.1204221083804,5.564591935677072,142779075.518,122214329.783,5842457.458,1468.292,886731.647,46616.106,14003,14048,82418.477,0.3003695233157106,116321,17631,3.755828857421875,545.8046875,35.74835968017578,2.750701904296875,16.38967296697704,86.82998657226562,132.0795307159423,4.43896484375,19.801827562910397,8.96478271484375,54.29367558535,2.638336181640625,16.27346202947704,0.216094970703125,1.5790968433382977,104280843.0,<nil>,116314,116313,2777685.0,140474.0,290012.0,278150.0,7080,75816.0,0.16118064379738814,223,726442305.142937,133750402.1400559,22.566598507995096,374415285.09334,503525061.883987,17066618.9617734,128053104.819865,40511555.9762992,5.84522706738347,0.574914139268154,0.9311515687251648,47633400.159286,0.0025708002648471,19271823.671295,0.0,0.0,2313533.9310419997,15251096.773632,1411498.4398949998,31,17,41,24,14,5,58,158017,2954667.878960938
