stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2020-10-14","16250.2792","7333.5348","0.0000","0.0000","1485.1294","4298.8895","143.6199"
"2020-10-15","8384.9765","3647.3315","0.0000","0.0000","1568.6261","4375.8460","154.2899"
"2020-10-16","7845.3438","3460.7934","0.0000","0.0000","1310.9980","4413.5472","141.7263"
"2020-10-17","8215.0626","3570.8701","0.0000","0.0000","1309.7798","4425.4359","116.8058"
"2020-10-18","7548.4636","3228.7750","0.0000","0.0000","974.3796","4480.9540","92.9483"
"2020-10-19","8729.9655","3520.6452","0.0000","0.0000","1737.7450","4527.5935","128.6333"
"2020-10-20","10207.6390","4019.4845","0.0000","0.0000","1564.6972","4542.6339","132.7070"
"2020-10-21","9903.4702","3981.9138","0.0000","0.0000","511.3024","4567.3874","82.3847"
"2020-10-22","10793.2239","4267.8020","0.0000","0.0000","446.6506","4590.8129","82.1940"
"2020-10-23","12160.3766","5032.5217","0.0000","0.0000","338.0648","4673.2891","59.6233"
"2020-10-24","15018.8778","6005.4678","0.0000","0.0000","349.3262","4735.4149","50.8056"
"2020-10-25","17366.3932","7073.4236","0.0000","0.0000","465.1002","4794.5139","60.3254"
"2020-10-26","17913.5887","7280.9405","0.0000","0.0000","987.1636","4880.6074","52.5516"
"2020-10-27","18830.9606","7631.4389","0.0000","0.0000","1914.0795","4959.3304","218.9338"
"2020-10-28","20072.3102","8044.8025","0.0000","0.0000","886.9594","5045.1736","79.0263"
"2020-10-29","20237.3148","8078.8436","0.0000","0.0000","3262.1940","5146.7954","54.1421"
"2020-10-30","20538.3218","8448.1964","0.0000","0.0000","603.7263","5202.9531","52.6122"
"2020-10-31","21111.7393","8745.8719","0.0000","0.0000","219.7652","5296.3066","44.0153"
"2020-11-01","20598.8665","8370.0533","0.0000","0.0000","2337.8455","5418.7661","50.7241"
"2020-11-02","19474.1209","8280.7450","0.0000","0.0000","463.6869","5450.5956","47.5416"
"2020-11-03","21673.9291","8814.4291","0.0000","0.0000","221.7384","5546.9145","48.0055"
"2020-11-04","22953.4386","9307.5442","0.0000","0.0000","341.4950","5665.8211","59.6789"
"2020-11-05","21679.6560","9008.0517","0.0000","0.0000","352.8131","5761.9746","72.7188"
"2020-11-06","24059.5277","9931.8968","0.0000","0.0000","325.0397","5841.2288","59.6186"
"2020-11-07","23206.5240","9631.2066","0.0000","0.0000","395.4257","5887.4978","56.1953"
"2020-11-08","23637.4220","9722.2786","0.0000","0.0000","488.7981","6031.4476","94.7797"
"2020-11-09","26777.5406","10828.7587","0.0000","0.0000","295.4316","6130.4186","62.0723"
"2020-11-10","24508.3053","10013.3380","0.0000","0.0000","416.4596","6161.1550","76.0309"
"2020-11-11","25828.4164","11164.8691","0.0000","0.0000","320.2329","6280.4269","67.0563"
"2020-11-12","25884.5983","10719.9045","0.0000","0.0000","381.9081","6386.3090","74.9597"
"2020-11-13","26000.8715","10579.4600","0.0000","0.0000","222.8268","6411.4840","41.3685"
"2020-11-14","24657.2921","9849.8648","0.0000","0.0000","225.8097","6588.7320","53.2336"
"2020-11-15","25497.5293","10830.4821","0.0000","0.0000","419.8687","6707.6224","47.1659"
"2020-11-16","24891.6092","10593.8199","0.0000","0.0000","340.8978","6760.8218","44.6349"
"2020-11-17","26164.5643","10855.5497","0.0000","0.0000","76.3896","6828.9516","36.3078"
"2020-11-18","25497.1619","10353.0165","0.0000","0.0000","1001.5768","6921.8067","59.1160"
"2020-11-19","25276.9901","10101.5147","0.0000","0.0000","66.6366","7080.8528","33.7662"
"2020-11-20","25920.9372","10499.6910","0.0000","0.0000","73.4567","7214.5887","28.9677"
"2020-11-21","25419.0121","10287.4463","0.0000","0.0000","61.3231","7285.2878","31.7707"
"2020-11-22","24566.5437","10406.7650","0.0000","0.0000","125.0364","7436.2074","47.6365"
"2020-11-23","16554.3407","6397.2358","0.0000","0.0000","174.0459","7587.4556","50.9453"
"2020-11-24","18802.6345","8744.0963","0.0000","0.0000","220.9881","4857.6396","72.2616"
"2020-11-25","29005.9592","12755.0409","0.0000","0.0000","221.3867","4918.6267","80.2255"
"2020-11-26","29984.9328","12361.7703","0.0000","0.0000","105.9220","4991.9599","68.4675"
"2020-11-27","27408.8870","11648.8541","0.0000","0.0000","210.3058","5024.0972","66.2532"
"2020-11-28","29504.0443","11822.1912","0.0000","0.0000","103.7093","5152.3582","67.9311"
"2020-11-29","28010.7413","11734.5230","0.0000","0.0000","535.6972","5198.0722","78.2270"
"2020-11-30","29375.0167","11536.2159","0.0000","0.0000","360.5391","5284.1987","67.5796"
"2020-12-01","29466.7319","12192.9299","0.0000","0.0000","47.2439","5345.9284","73.2660"
"2020-12-02","27829.5596","11118.7436","0.0000","0.0000","83.8557","5415.2680","73.4356"
"2020-12-03","31726.0262","13039.0747","0.0000","0.0000","213.5487","5509.0983","100.3151"
"2020-12-04","28891.5868","11846.3556","0.0000","0.0000","313.3611","5546.4984","61.9465"
"2020-12-05","28019.3130","11613.3820","0.0000","0.0000","292.6942","5633.9650","70.5802"
"2020-12-06","29214.4626","11508.0933","0.0000","0.0000","226.0986","5710.4234","64.0114"
"2020-12-07","28858.2478","11664.5828","0.0000","0.0000","159.9385","5784.4934","59.9130"
"2020-12-08","29584.1800","11640.4197","0.0000","0.0000","135.9607","5838.1891","60.3277"
"2020-12-09","30339.4395","12271.2267","0.0000","0.0000","56.3015","5927.8032","72.7525"
"2020-12-10","29377.9047","11970.9723","0.0000","0.0000","55.1529","5982.1531","55.2236"
"2020-12-11","29465.9590","11379.7792","0.0000","0.0000","28.9410","6012.8232","55.8294"
"2020-12-12","29282.6134","11535.7426","0.0000","0.0000","21.7065","6132.3185","70.8984"
"2020-12-13","28906.5926","11388.2777","0.0000","0.0000","16.7149","6211.1224","58.7788"
"2020-12-14","28702.3133","11017.4349","0.0000","0.0000","38.0835","6247.7811","58.6452"
"2020-12-15","28824.2672","10968.4562","0.0000","0.0000","48.2563","6268.4360","66.6654"
"2020-12-16","28392.5717","10836.5728","0.0000","0.0000","76.9542","6322.8064","61.2887"
